[2018-05-30 09:45:45] "Practica1";Group1;444;"Pilot33";1527662745995;09:45:45;1;00:03:473;
[2018-05-30 09:45:49] "Practica1";Group1;444;"Pilot33";1527662749082;09:45:49;2;00:03:087;
[2018-05-30 09:45:49] "Practica1";Group1;6666;"FPV man";1527662749380;09:45:49;2;00:03:432;
[2018-05-30 09:45:52] "Practica1";Group1;6666;"FPV man";1527662752441;09:45:52;3;00:03:061;
[2018-05-30 09:45:52] "Practica1";Group1;444;"Pilot33";1527662752500;09:45:52;3;00:03:418;
[2018-05-30 09:46:26] "Practica1";Group1;6666;"FPV man";1527662786096;09:46:26;1;00:09:017;
[2018-05-30 09:46:26] "Practica1";Group1;444;"Pilot33";1527662786503;09:46:26;1;00:09:424;
[2018-05-30 09:46:29] "Practica1";Group1;6666;"FPV man";1527662789153;09:46:29;2;00:03:057;
[2018-05-30 09:46:30] "Practica1";Group1;444;"Pilot33";1527662790025;09:46:30;2;00:03:522;
[2018-05-30 09:46:32] "Practica1";Group1;6666;"FPV man";1527662792425;09:46:32;3;00:03:272;
[2018-05-30 09:46:33] "Practica1";Group1;444;"Pilot33";1527662793081;09:46:33;3;00:03:056;
[2018-05-30 09:47:09] "Practica1";Group1;6666;"FPV man";1527662829212;09:47:09;1;00:01:509;
[2018-05-30 09:47:09] "Practica1";Group1;444;"Pilot33";1527662829578;09:47:09;1;00:03:611;
[2018-05-30 09:47:12] "Practica1";Group1;6666;"FPV man";1527662832255;09:47:12;2;00:03:043;
[2018-05-30 09:47:13] "Practica1";Group1;444;"Pilot33";1527662833005;09:47:13;2;00:03:427;
[2018-05-30 09:47:16] "Practica1";Group1;444;"Pilot33";1527662836118;09:47:16;3;00:03:113;
[2018-05-30 09:47:16] "Practica1";Group1;6666;"FPV man";1527662836271;09:47:16;3;00:04:016;
[2018-05-30 09:47:46] "Practica1";Group1;6666;"FPV man";1527662866358;09:47:46;1;00:00:961;
[2018-05-30 09:47:46] "Practica1";Group1;444;"Pilot33";1527662866377;09:47:46;1;00:00:677;
[2018-05-30 09:52:26] "Practica1";Group1;6666;"FPV man";1527663146705;09:52:26;1;00:03:776;
[2018-05-30 09:52:33] "Practica1";Group1;444;"Pilot33";1527663153242;09:52:33;1;00:05:124;
[2018-05-30 09:52:34] "Practica1";Group1;6666;"FPV man";1527663154641;09:52:34;2;00:07:936;
[2018-05-30 09:52:36] "Practica1";Group1;444;"Pilot33";1527663156413;09:52:36;2;00:03:171;
[2018-05-30 09:52:38] "Practica1";Group1;6666;"FPV man";1527663158314;09:52:38;3;00:03:673;
[2018-05-30 09:52:39] "Practica1";Group1;444;"Pilot33";1527663159428;09:52:39;3;00:03:015;
[2018-05-30 09:54:08] "Practica1";Group2;123;"KKV";1527663248594;09:54:08;1;00:03:480;
[2018-05-30 09:54:08] "Practica1";Group2;1111;"Нифка";1527663248639;09:54:08;1;00:03:525;
[2018-05-30 09:54:11] "Practica1";Group2;123;"KKV";1527663251613;09:54:11;2;00:03:019;
[2018-05-30 09:54:11] "Practica1";Group2;1111;"Нифка";1527663251724;09:54:11;2;00:03:085;
[2018-05-30 09:54:15] "Practica1";Group2;123;"KKV";1527663255019;09:54:15;3;00:03:406;
[2018-05-30 09:54:15] "Practica1";Group2;1111;"Нифка";1527663255186;09:54:15;3;00:03:462;
